"","Rank","feature","Top50"
"714",87,0,0
"715",88,0,0
"716",89,0,0
"717",91,0,0
"718",92,0,0
"719",94,0,0
"720",95,0,0
"721",96,0,0
"722",98,0,0
"723",99,0,0
"724",100,0,0
"725",1,0,1
"726",2,0,1
"727",3,0,1
"728",4,0,1
"729",5,0,1
"730",6,0,1
"731",7,0,1
"732",8,0,1
"733",9,0,1
"734",10,0,1
"735",11,0,1
"736",12,0,1
"737",13,0,1
"738",14,0,1
"739",15,0,1
"740",17,0,1
"741",18,0,1
"742",19,0,1
"743",20,0,1
"744",21,0,1
"745",22,0,1
"746",23,0,1
"747",24,0,1
"748",25,0,1
"749",26,0,1
"750",27,0,1
"751",28,0,1
"752",29,0,1
"753",30,0,1
"754",31,0,1
"755",32,0,1
"756",33,0,1
"757",34,0,1
"758",36,0,1
"759",37,0,1
"760",38,0,1
"761",39,0,1
"762",40,0,1
"763",41,0,1
"764",43,0,1
"765",44,0,1
"766",45,0,1
"767",46,0,1
"768",47,0,1
"769",48,0,1
"770",49,0,1
"771",50,0,1
"772",51,0,0
"773",52,0,0
"774",54,0,0
"775",55,0,0
"776",56,0,0
"777",57,0,0
"778",58,0,0
"779",59,0,0
"780",60,0,0
"781",62,0,0
"782",63,0,0
"783",64,0,0
"784",65,0,0
"785",66,0,0
"786",67,0,0
"787",68,0,0
"788",69,0,0
"789",70,0,0
"790",71,0,0
"791",72,0,0
"792",73,0,0
"793",74,0,0
"794",75,0,0
"795",76,0,0
"796",77,0,0
"797",78,0,0
"798",79,0,0
"799",80,0,0
"800",81,0,0
"801",82,0,0
"802",83,0,0
"803",84,0,0
"804",85,0,0
"805",86,0,0
"806",87,0,0
"807",88,0,0
"808",89,0,0
"809",90,0,0
"810",91,0,0
"811",92,0,0
"812",93,0,0
"813",94,0,0
"814",95,0,0
"815",96,0,0
"816",97,0,0
"817",98,0,0
"818",99,0,0
"819",100,0,0
"820",1,0,1
"821",2,0,1
"822",4,0,1
"823",5,0,1
"824",6,0,1
"825",7,0,1
"826",8,0,1
"827",9,0,1
"828",10,0,1
"829",12,0,1
"830",13,0,1
"831",14,0,1
"832",15,0,1
"833",16,0,1
"834",17,0,1
"835",18,0,1
"836",19,0,1
